program,university
Accounting (BA 3 year),Algoma University
Anishinaabemowin (BA 3 year),Algoma University
Anishinaabe Studies (BA 3 year),Algoma University
Biology (BSc 3 year),Algoma University
Biology (BSc 4 year),Algoma University
Business Administration (BBA 4 year),Algoma University
Business Administration (Brampton) (BBA 4 year),Algoma University
Community Development (BA 3 year),Algoma University
Community Economic and Social Development (BA 4 year),Algoma University
Community Economic & Social Development (BA 3 year),Algoma University
Computer Science (BCOSC 3 year),Algoma University
Computer Science (BCOSC 4 year),Algoma University
Computer Science (BSc 3 year),Algoma University
Computer Science (BSc 4 year),Algoma University
Economics (BA 3 year),Algoma University
Engineering – First Year Chemical (BENG),Algoma University
Engineering – First Year Mechanical (BENG),Algoma University
Engineering – First Year Mining (BENG),Algoma University
English (BA 3 year),Algoma University
English (BA 4 year),Algoma University
Finance and Economics (BA 4 year),Algoma University
Finance and Economics (Brampton) (BA 4 year),Algoma University
Fine Arts (Visual Arts) (BFA 4 year),Algoma University
Geography (BA 3 year),Algoma University
Geography (BA 4 year),Algoma University
History (BA 3 year),Algoma University
History (BA 4 year),Algoma University
Law and Justice (BA 3 year),Algoma University
Law and Justice (BA 4 year),Algoma University
Music (BA 3 year),Algoma University
Political Science (BA 3 year),Algoma University
Political Science (BA 4 year),Algoma University
Psychology (BA 3 year),Algoma University
Psychology (BA 4 year),Algoma University
Psychology (BSc 4 year),Algoma University
Social Work (BSW 4 year),Algoma University
Sociology (BA 3 year),Algoma University
Sociology (BA 4 year),Algoma University
Visual Arts (BA 3 year),Algoma University
Accounting,Brock University
Applied Economic Analysis,Brock University
Applied Linguistics,Brock University
Biochemistry,Brock University
Biological Sciences,Brock University
Biomedical Sciences,Brock University
Biophysics,Brock University
Biotechnology,Brock University
Business Administration,Brock University
Business Administration Co-op International Dual Degree,Brock University
Business Communication,Brock University
Business Economics,Brock University
Chemistry,Brock University
Child and Youth Studies,Brock University
Child Health,Brock University
Community Health,Brock University
Computer Science,Brock University
Computer Science and Mathematics Co-op only,Brock University
Computing and Business,Brock University
Computing and Network Communications Co-op,Brock University
Computing and Solid State Device Technology,Brock University
Concurrent BA Child and Youth Studies Honours/BEd – Primary/Junior,Brock University
Concurrent BA Honours/BEd – Intermediate/Senior,Brock University
Concurrent BA Integrated Studies Honours/BEd - Junior/Intermediate,Brock University
Concurrent BPhEd Honours/BEd – Intermediate/Senior,Brock University
Concurrent BPhEd Honours/BEd - Junior/Intermediate,Brock University
Concurrent BSc Honours/BEd – Intermediate/Senior,Brock University
Concurrent BSc Integrated Studies/BEd - Junior/Intermediate,Brock University
Dramatic Arts,Brock University
Earth Sciences,Brock University
Economics,Brock University
Environmental Geosciences,Brock University
Film Studies,Brock University
Game Design,Brock University
Game Programming,Brock University
Geography (BA),Brock University
Geography (BSc),Brock University
History,Brock University
Humanities – Faculty of Humanities,Brock University
Interactive Arts and Science,Brock University
International Political Economy,Brock University
Kinesiology (BKin),Brock University
Kinesiology (BScKin),Brock University
Labour Studies,Brock University
Mathematics and Statistics,Brock University
Media and Communication Studies,Brock University
Medical Sciences,Brock University
Music,Brock University
Neuroscience,Brock University
Nursing,Brock University
Oenology and Viticulture,Brock University
Physical Education,Brock University
Physics,Brock University
Political Science,Brock University
Popular Culture,Brock University
Psychology,Brock University
Public Health,Brock University
Recreation and Leisure Studies,Brock University
Sciences,Brock University
Social Sciences,Brock University
Sociology,Brock University
Sport Management,Brock University
Tourism Studies,Brock University
Visual Arts,Brock University
Women's and Gender Studies,Brock University
Architectural Studies (regular and co-op) – Conservation and Sustainability,Carleton University
Architectural Studies (regular and co-op) – Design,Carleton University
Architectural Studies (regular and co-op) – Urbanism,Carleton University
BA – General (3 years),Carleton University
BA – Honours (4 years) (co-op available with some concentrations),Carleton University
Certificate in Carillon Studies,Carleton University
Cognitive Science – General,Carleton University
Cognitive Science – Honours (regular and co-op),Carleton University
Commerce – Accounting (regular and co-op),Carleton University
Commerce – Entrepreneurship (regular and co-op),Carleton University
Commerce – Finance (regular and co-op),Carleton University
Commerce – Information Systems (regular and co-op),Carleton University
Commerce – International Business (regular and co-op),Carleton University
Commerce – Management (regular and co-op),Carleton University
Commerce – Marketing (regular and co-op),Carleton University
Commerce – Supply Chain Management (regular and co-op),Carleton University
Commerce (regular and co-op),Carleton University
Communication and Media Studies,Carleton University
Computer Science – Honours: Computer and Internet Security (regular and co-op),Carleton University
Computer Science – Honours (regular and co-op),Carleton University
Computer Science - Major,Carleton University
Economics,Carleton University
Engineering – Aerospace Engineering (co-op option available),Carleton University
Engineering – Architectural Conservation and Sustainability Engineering,Carleton University
Engineering – Biomedical and Electrical Engineering (regular and co-op),Carleton University
Engineering – Biomedical and Mechanical Engineering (regular and co-op),Carleton University
Engineering – Civil Engineering (regular and co-op),Carleton University
Engineering – Communications Engineering (regular and co-op),Carleton University
Engineering – Computer Systems Engineering (regular and co-op),Carleton University
Engineering – Electrical Engineering (regular and co-op),Carleton University
Engineering – Engineering Physics (regular and co-op),Carleton University
Engineering – Environmental Engineering (regular and co-op),Carleton University
Engineering – Mechanical Engineering (regular and co-op),Carleton University
Engineering – Software Engineering (regular and co-op),Carleton University
Engineering – Sustainable and Renewable Energy (regular and co-op),Carleton University
Global and International Studies,Carleton University
Health Sciences – Honours (4 years),Carleton University
Humanities – Option A,Carleton University
Humanities with Biology – Option B,Carleton University
Industrial Design (regular and co-op),Carleton University
Information Technology – Information Resource Management (regular and co-op) (program offered jointly with Algonquin College),Carleton University
Information Technology – Interactive Multimedia and Design (regular and co-op) (program offered jointly with Algonquin College),Carleton University
Information Technology – Network Technology (regular and co-op) (program offered jointly with Algonquin College),Carleton University
Information Technology – Photonics and Laser Technology (regular and co-op) (program offered jointly with Algonquin College),Carleton University
International Business,Carleton University
Journalism,Carleton University
Journalism and Humanities,Carleton University
Mathematics – General (3 years),Carleton University
Mathematics – Honours (4 years) (regular and co-op),Carleton University
Media Production and Design,Carleton University
Music,Carleton University
Public Affairs and Policy Management – Communication & Policy Studies (regular and co-op),Carleton University
Public Affairs and Policy Management – Development Policy Studies (regular and co-op),Carleton University
Public Affairs and Policy Management – International Policy Studies (regular and co-op),Carleton University
Public Affairs and Policy Management – Public Policy & Administration (regular and co-op),Carleton University
Public Affairs and Policy Management – Undeclared (first year only) (regular and co-op),Carleton University
Science – General (3 years),Carleton University
Science – Honours (4 years) (regular and co-op),Carleton University
Science – Major (4 years),Carleton University
Social Work,Carleton University
Accounting,University of Guelph
Adult Development,University of Guelph
Agriculture,University of Guelph
Applied Human Nutrition,University of Guelph
Arts and Sciences,University of Guelph
Arts General,University of Guelph
Arts Honours,University of Guelph
Bachelor of Engineering – Undeclared (first-year only),University of Guelph
"Bachelor of Science, General (3 years)",University of Guelph
"Bachelor of Science, Honours (4 years)",University of Guelph
Bachelor of Science in Environmental Sciences,University of Guelph
Biological Engineering,University of Guelph
Biomedical Engineering,University of Guelph
Bio-Medical Science,University of Guelph
"Child, Youth and Family",University of Guelph
Commerce – Undeclared Major (first year only),University of Guelph
Computer Engineering,University of Guelph
Computer Science,University of Guelph
Criminal Justice and Public Policy,University of Guelph
Engineering Systems and Computing,University of Guelph
Environmental Engineering,University of Guelph
Environmental Management,University of Guelph
Equine Management,University of Guelph
Food and Agricultural Business,University of Guelph
Food Industry Management,University of Guelph
General Bachelor of Computing,University of Guelph
Hospitality and Tourism Management,University of Guelph
Human Kinetics,University of Guelph
Landscape Architecture,University of Guelph
Major to be Determined – Arts,University of Guelph
Management,University of Guelph
Management Economics and Finance,University of Guelph
Marketing Management,University of Guelph
Mechanical Engineering,University of Guelph
Public Management,University of Guelph
Real Estate and Housing,University of Guelph
Software Engineering,University of Guelph
Studio Art,University of Guelph
Turfgrass Management (Associate Diploma Program),University of Guelph
Water Resources Engineering,University of Guelph
Honours Bachelor of Applied Arts in Media Studies and Diploma in Media Communications,University of Guelph-Humber
Honours Bachelor of Applied Science in Early Childhood Studies and Diploma in Early Childhood Education,University of Guelph-Humber
Honours Bachelor of Applied Science in Family and Community Social Services and Social Service Worker Diploma,University of Guelph-Humber
